fold,iteration,feature,importance
2,13,svi,0.051103992705643364
2,14,svi,0.17921911508823773
2,15,svi,0.11589770245620079
2,16,svi,0.1278050079041062
2,17,svi,0.17395736575970333
2,18,svi,0.1071519868201889
2,19,svi,0.14411008790381075
2,20,svi,0.12147835668131868
2,21,svi,0.11981055942846253
2,22,svi,0.08785696779117014
2,23,svi,0.15339975531574745
2,24,svi,0.13912427085852475
2,25,svi,0.19878598104660972
2,26,svi,0.1677383406215004
2,27,svi,0.07064559243863078
2,28,svi,0.1601467640056351
2,29,svi,0.11980982225674208
2,30,svi,0.1737259023237524
2,1,lcp,-0.026600497470806395
2,2,lcp,-0.05426892220682544
2,3,lcp,0.007691988610419975
2,4,lcp,-0.024564142408892486
2,5,lcp,0.030591386446494395
2,6,lcp,-0.020821157494776865
2,7,lcp,-0.020299304525368544
2,8,lcp,-0.008046413595017232
2,9,lcp,-0.007353548501676799
2,10,lcp,0.002527565612023719
2,11,lcp,-0.04874097779405562
2,12,lcp,-0.020414068589693746
2,13,lcp,0.009812921230375471
2,14,lcp,-0.03584165157413277
2,15,lcp,0.006014623465870561
2,16,lcp,-0.036676956899534874
2,17,lcp,-0.005650397635674764
2,18,lcp,-0.010543393821232816
2,19,lcp,-0.017806128943183896
2,20,lcp,-0.013965708441384672
2,21,lcp,-0.031046290863549375
2,22,lcp,0.008003335932003308
2,23,lcp,-0.021585811185672932
2,24,lcp,-0.02039725311891394
2,25,lcp,-0.0040433403371851195
2,26,lcp,-0.021853104988975636
2,27,lcp,0.009889789679940364
2,28,lcp,-0.022171349057072298
2,29,lcp,-0.02594793586874211
2,30,lcp,-0.030290093005956087
2,1,gleason,0.015559349335241168
2,2,gleason,0.0002491353513933703
2,3,gleason,-0.0008561037621993561
2,4,gleason,0.021495434509566702
2,5,gleason,0.0018980686895466725
2,6,gleason,0.00639285506563636
2,7,gleason,0.023758112161193057
2,8,gleason,-0.021335679634940985
2,9,gleason,-0.005255408569040276
2,10,gleason,-0.002798880176758556
2,11,gleason,-0.0046691943530463575
2,12,gleason,0.00428364577001672
2,13,gleason,-0.006229653156746839
2,14,gleason,0.0012634407352185573
2,15,gleason,-0.001473297952876207
2,16,gleason,0.012493648206282515
2,17,gleason,-0.004161966339318868
2,18,gleason,0.012852426190339328
2,19,gleason,0.006261080026509824
2,20,gleason,0.004623428256073758
2,21,gleason,0.010087203093186559
2,22,gleason,-0.006523998838997125
2,23,gleason,-0.00025867457963069107
2,24,gleason,0.005576119766819709
2,25,gleason,0.0014543994430221696
2,26,gleason,0.007484631149243137
2,27,gleason,-0.0021483520066492012
2,28,gleason,0.0017969208723681573
2,29,gleason,0.006295302465941788
2,30,gleason,0.02691009535743949
2,1,pgg45,0.0377986412731357
2,2,pgg45,0.04690425758974681
2,3,pgg45,0.007361491298994327
2,4,pgg45,0.03217194673498058
2,5,pgg45,0.010238458308238996
2,6,pgg45,0.03625145493449167
2,7,pgg45,0.032169552051363404
2,8,pgg45,-5.039549008101218e-06
2,9,pgg45,0.01459535246991328
2,10,pgg45,0.018714770351828114
2,11,pgg45,0.05123016538598457
2,12,pgg45,0.014521782098730007
2,13,pgg45,-0.011388351506440464
2,14,pgg45,0.011082477529671952
2,15,pgg45,0.00422898849940434
2,16,pgg45,0.034636729432049984
2,17,pgg45,0.00967995303854119
2,18,pgg45,0.02008398294458047
2,19,pgg45,0.03082932236382785
2,20,pgg45,0.016737463470531067
2,21,pgg45,0.016177982705910643
2,22,pgg45,0.019636966080226914
2,23,pgg45,0.014530243122239161
2,24,pgg45,0.017895564229781225
2,25,pgg45,0.01568245351279718
2,26,pgg45,0.023589924212600644
2,27,pgg45,0.007956595297232694
2,28,pgg45,0.011086348927815792
2,29,pgg45,0.02473889596894341
2,30,pgg45,0.04005847203313062
3,1,lcavol,0.6082918775806864
3,2,lcavol,0.3848708710414924
3,3,lcavol,0.4122311215403379
3,4,lcavol,0.45439304030824823
3,5,lcavol,0.36925108778718607
3,6,lcavol,0.6871742591222484
3,7,lcavol,0.5598832817450691
3,8,lcavol,0.2726076691426994
3,9,lcavol,0.5160127366688113
3,10,lcavol,0.5780315440763252
3,11,lcavol,0.5215649412725235
3,12,lcavol,0.27462264449395424
3,13,lcavol,0.38526535900867953
3,14,lcavol,0.4233675412604335
3,15,lcavol,0.5780737918611975
3,16,lcavol,0.38553110018104186
3,17,lcavol,0.6466387925441722
3,18,lcavol,0.5320776305871028
3,19,lcavol,0.49898010235456514
3,20,lcavol,0.28398448301686774
3,21,lcavol,0.5221750020477954
3,22,lcavol,0.4593708315432875
3,23,lcavol,0.2472341967001358
3,24,lcavol,0.5399263365654029
3,25,lcavol,0.4091165822748962
