model,repeat,fold,n_test,r2,rmse,mae
Random Forest,8,1,20,0.652809247887,0.924943884483,0.72163683089
Random Forest,8,2,20,0.430266615437,0.83985041667,0.63022589446
Random Forest,8,3,19,0.521609491994,0.716033581123,0.574883863361
Random Forest,8,4,19,0.257431367237,0.736427057212,0.605766464619
Random Forest,8,5,19,0.469130764861,0.682818722858,0.607466925738
Random Forest,9,1,20,0.643846697873,0.728637630816,0.607709437896
Random Forest,9,2,20,0.346847134326,0.795477799858,0.616610782262
Random Forest,9,3,19,0.737533779105,0.556826141649,0.467498591809
Random Forest,9,4,19,0.611963841518,0.809023775426,0.695616016416
Random Forest,9,5,19,0.28783467407,0.864636961787,0.716125002285
Random Forest,10,1,20,0.522813699296,0.639441457586,0.540000342576
Random Forest,10,2,20,0.519581952591,0.65051557308,0.513652543673
Random Forest,10,3,19,0.267371565752,0.927556588488,0.814046946288
Random Forest,10,4,19,0.397882453942,0.753997313062,0.653139409273
Random Forest,10,5,19,0.575378188771,1.01511355836,0.806650864214
Gradient Boosting,1,1,20,0.616914238014,0.740401714603,0.631879031741
Gradient Boosting,1,2,20,0.562874851067,0.701164999984,0.559281619749
Gradient Boosting,1,3,19,0.402834471819,0.782947236834,0.648403251226
Gradient Boosting,1,4,19,0.0341684753321,0.886486042649,0.648556885255
Gradient Boosting,1,5,19,0.498694453958,0.886104525617,0.784390860811
Gradient Boosting,2,1,20,0.32055742375,0.819417919766,0.674650595752
Gradient Boosting,2,2,20,0.507573442003,0.687658090788,0.606617804956
Gradient Boosting,2,3,19,0.4867785372,0.752640624146,0.606470363676
Gradient Boosting,2,4,19,0.508063827456,0.943477663916,0.747040462498
Gradient Boosting,2,5,19,0.360311836497,0.926041569326,0.745734557927
Gradient Boosting,3,1,20,0.407423149745,0.628901761719,0.497045012473
Gradient Boosting,3,2,20,0.597876085713,0.853537307246,0.684936300123
Gradient Boosting,3,3,19,0.309086774798,0.820045338938,0.699017990416
Gradient Boosting,3,4,19,0.620752956947,0.801477175435,0.645312777758
Gradient Boosting,3,5,19,0.524537796858,0.80029550872,0.656081470317
Gradient Boosting,4,1,20,0.262771028513,0.926652310719,0.743889974881
Gradient Boosting,4,2,20,0.616772622079,0.773428578156,0.634409749625
Gradient Boosting,4,3,19,0.347970869792,0.761173466868,0.601339273684
Gradient Boosting,4,4,19,0.609921526154,0.728702219974,0.631061842185
Gradient Boosting,4,5,19,0.559733176216,0.77840161965,0.615238298956
Gradient Boosting,5,1,20,0.392032507372,0.825049640732,0.746751808782
Gradient Boosting,5,2,20,0.375956704551,0.79138796277,0.654086583012
Gradient Boosting,5,3,19,0.575124932779,0.865335964226,0.681124377786
Gradient Boosting,5,4,19,0.496880757577,0.764161368345,0.6537404169
Gradient Boosting,5,5,19,0.528084041224,0.738950295818,0.605938784088
Gradient Boosting,6,1,20,0.575720422573,0.811165221226,0.619065380584
Gradient Boosting,6,2,20,0.300653084534,0.916782603455,0.74729198045
Gradient Boosting,6,3,19,0.624984671908,0.668886194786,0.555027966117
Gradient Boosting,6,4,19,0.536719580733,0.699566353908,0.582303803983
Gradient Boosting,6,5,19,0.661794428287,0.706977945027,0.570514050994
Gradient Boosting,7,1,20,0.529370157316,0.724336148892,0.607051679357
Gradient Boosting,7,2,20,0.447917411356,0.790746076417,0.662070888904
Gradient Boosting,7,3,19,0.734204129114,0.592856117215,0.471462104854
Gradient Boosting,7,4,19,0.380450612232,0.822884076651,0.667830583892
Gradient Boosting,7,5,19,0.555430217698,0.827238179374,0.741539814191
Gradient Boosting,8,1,20,0.597195969985,0.996272664582,0.780606108377
Gradient Boosting,8,2,20,0.362130876404,0.888652358753,0.698084022777
Gradient Boosting,8,3,19,0.504893184666,0.728436276885,0.592430787929
Gradient Boosting,8,4,19,0.375451634157,0.675374213494,0.559420348502
Gradient Boosting,8,5,19,0.466706235028,0.684376195335,0.619693190768
Gradient Boosting,9,1,20,0.624810753453,0.74785654765,0.59592615431
Gradient Boosting,9,2,20,0.356455558963,0.789605049876,0.635946021403
Gradient Boosting,9,3,19,0.676251847641,0.618424314558,0.522841429649
Gradient Boosting,9,4,19,0.582222230176,0.839455830997,0.716303931099
Gradient Boosting,9,5,19,0.187459078208,0.923561894166,0.734004974153
Gradient Boosting,10,1,20,0.442318195095,0.691273715597,0.549253642911
Gradient Boosting,10,2,20,0.534915580635,0.640050050639,0.50949219435
Gradient Boosting,10,3,19,0.229418395407,0.951278865441,0.854434318453
Gradient Boosting,10,4,19,0.356792707376,0.77929992889,0.68259921903
Gradient Boosting,10,5,19,0.585049116584,1.00348717407,0.81512599164
Neural Network,1,1,20,0.477543749199,0.86465802203,0.656498803026
Neural Network,1,2,20,0.567536165129,0.697416519577,0.580809860079
Neural Network,1,3,19,-0.405843033656,1.20130572682,0.958349884831
Neural Network,1,4,19,-0.0556575438746,0.926792993048,0.751419587611
Neural Network,1,5,19,0.461822659377,0.918113565119,0.783959715097
Neural Network,2,1,20,0.213937267846,0.881368818222,0.657867482767
Neural Network,2,2,20,0.329729696649,0.802281563902,0.615753093818
Neural Network,2,3,19,0.414064096401,0.804193032432,0.622995481062
Neural Network,2,4,19,0.690864097318,0.747914524587,0.566130489659
Neural Network,2,5,19,0.361018088018,0.925530227299,0.63796159879
Neural Network,3,1,20,-0.39989290447,0.966624674235,0.866180181732
Neural Network,3,2,20,0.0219851172074,1.3311141178,1.02124751347
