model,repeat,fold,n_test,rmse,mae,r2
Lasso,9,5,19,0.888725023128,0.743287314756,0.247601280497
Mean baseline,9,5,19,1.04476528547,0.790062944872,-0.0398021199642
Linear Regression,10,1,20,0.624729239363,0.439173989558,0.544519222798
Decision Tree,10,1,20,0.844820560488,0.713704015333,0.167056896025
Random Forest,10,1,20,0.639441457586,0.540000342576,0.522813699296
Gradient Boosting,10,1,20,0.691273715597,0.549253642911,0.442318195095
MLP (L-BFGS),10,1,20,0.794861376197,0.657727876715,0.262657654648
Ridge,10,1,20,0.618095971385,0.436082097232,0.554140306313
Lasso,10,1,20,0.569841678833,0.428961118859,0.621038745796
Mean baseline,10,1,20,0.976374248146,0.807536871104,-0.112548673275
Linear Regression,10,2,20,0.592177951611,0.479186598446,0.601885143192
Decision Tree,10,2,20,0.821707749474,0.677260124051,0.233453184721
Random Forest,10,2,20,0.65051557308,0.513652543673,0.519581952591
Gradient Boosting,10,2,20,0.640050050639,0.50949219435,0.534915580635
MLP (L-BFGS),10,2,20,0.529647997482,0.423311259952,0.681522623307
Ridge,10,2,20,0.591313137074,0.480309154647,0.6030471051
Lasso,10,2,20,0.603665590604,0.472283378541,0.586289292823
Mean baseline,10,2,20,0.940530512893,0.744937633701,-0.00426816807
Linear Regression,10,3,19,0.774277299089,0.574582638031,0.489499709113
Decision Tree,10,3,19,0.840863949432,0.75331645962,0.397919713638
Random Forest,10,3,19,0.927556588488,0.814046946288,0.267371565752
Gradient Boosting,10,3,19,0.951278865441,0.854434318453,0.229418395407
MLP (L-BFGS),10,3,19,0.942093839524,0.725804658764,0.244227180787
Ridge,10,3,19,0.775171166832,0.568854254518,0.488320330244
Lasso,10,3,19,0.7856739863,0.629440961859,0.47436086886
Mean baseline,10,3,19,1.17154086975,0.865420318961,-0.168739786212
Linear Regression,10,4,19,0.839214955425,0.655299728415,0.254087103561
Decision Tree,10,4,19,0.920958601089,0.772334145708,0.101698958894
Random Forest,10,4,19,0.753997313062,0.653139409273,0.397882453942
Gradient Boosting,10,4,19,0.77929992889,0.68259921903,0.356792707376
MLP (L-BFGS),10,4,19,0.892919113702,0.692871854342,0.155565583341
Ridge,10,4,19,0.837908834513,0.65844302092,0.256407115336
Lasso,10,4,19,0.818596745705,0.671855059886,0.290288709772
Mean baseline,10,4,19,1.05135687369,0.83021770054,-0.17069025545
Linear Regression,10,5,19,0.921746869831,0.760960868697,0.649896554807
Decision Tree,10,5,19,1.10796329168,0.882465509875,0.494147634409
Random Forest,10,5,19,1.01511355836,0.806650864214,0.575378188771
Gradient Boosting,10,5,19,1.00348717407,0.81512599164,0.585049116584
MLP (L-BFGS),10,5,19,1.15216211913,0.882086712311,0.452983752105
Ridge,10,5,19,0.922514274695,0.75844261453,0.649313351462
Lasso,10,5,19,0.934400930584,0.752296099199,0.640217888612
Mean baseline,10,5,19,1.58694001909,1.27188172152,-0.0377531635579
